DMI,MJO,N12,N3,N4,Q,WP,EP
0.252,1.512626637,0.925,1.28,0.54,50325.70968,156355.7605,246025.8971
-0.2195,0.954552887,-1.415,-1.77,-0.855,51085.46774,184162.723,230303.6512
-0.384,0.846190131,-0.545,-0.425,-0.81,44962.01613,105815.5465,180629.089
-0.319,0.822195324,-0.55,0.06,0.075,48097.24194,124312.8675,174718.1976
0.164,0.972012614,0.485,0.67,0.46,57087.09677,112453.015,188106.6492
-0.6235,0.912525775,-0.105,-0.07,0.225,39107.01613,99464.77628,161367.3044
-0.2285,0.892006453,0.63,0.24,0.1,54896.58065,128987.3162,213162.2469
0.684,0.789023473,-0.95,-0.27,0.605,33782.24194,69980.67766,109941.7835
-0.1565,1.364453234,-0.51,-0.67,-0.055,54093.90323,134683.0998,177864.4478
-0.662,1.299689033,-1.065,-0.53,-0.385,54029.1129,119746.6566,168737.4154
0.5405,1.047191159,3.795,2.34,0.485,41051.48387,84616.83509,142897.2953
-0.4825,0.87954179,1.19,-0.525,-0.9,71127.08065,153918.1594,219100.9254
0.0675,0.854951546,-0.17,-0.8,-1.12,49597.83871,130189.414,172896.1731
0.104,1.610972879,-0.425,-0.55,-0.675,45699.16129,104751.1609,155564.8581
-0.2205,1.444646918,-0.71,-0.245,0.07,31098.24194,97697.40139,125248.2673
-0.234,1.571196765,-0.245,0.45,0.635,39352.5,131664.3261,199363.7173
0.1195,0.798424749,-0.5,0.19,0.19,46006.85484,109642.4036,205941.1522
-0.2165,1.429840613,-0.765,0.11,0.485,47044.24194,117342.8137,197771.2586
-0.3645,0.984408802,-0.375,0.14,-0.085,41385.12903,119115.002,184541.9354
0.1345,1.021739669,0.45,0.2,0.31,32098.82258,68622.21871,126229.0825
0.1405,1.127894385,-1.09,-1.065,-0.265,46868.79032,106625.174,163898.0648
0.185,1.221484224,1.195,0.39,-0.79,48609.58065,127724.7124,154281.7798
-0.148,0.871908994,0.795,0.745,0.365,38068.70968,114783.3191,183551.8573
-0.0315,1.20575988,-1.17,-1.075,-1.02,55138.51613,107711.313,167271.0116
0.2835,1.011268891,-0.055,-0.295,-0.555,49749.03468,91852.60044,154643.0201
0.599,1.21223357,0.235,0.545,-0.09,41686.56194,92687.00108,135773.6979
-0.187,0.899691774,-1.38,-0.675,-0.21,44006.70161,92812.95677,152297.7186
-0.3675,1.183918849,0.935,0.245,0.195,48517.87581,104598.3027,197963.4947
0.396,1.340397579,2.095,1.97,0.935,37433.09677,117720.3689,173527.3332
-0.601,1.186055528,0.245,-0.57,0.045,53031.46774,92809.61131,194160.8831
0.4345,0.789746816,-0.33,-0.105,0.17,61225.22581,121486.0547,227901.1937
0.0875,1.31376948,-0.335,0.025,0.34,44035.58823,93149.12615,145481.6132
0.5165,0.913971044,-0.725,-0.21,0.705,32092.05952,121601.8713,174557.5661
NA,NA,NA,NA,NA,NA,,